species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Abortiporus biennis,49.37399625,7.725465,12.430178125,0.5745,1.97517375,228.592403125,100.569286875,67.76565,1.4510412500000005,59.46194000000003,-0.0186821578620058,736.2093426073051,141.87259637407655,0.0,101.62094273092067,9.233773069653706,52.213354303917605,495.5928408220464,0.0789282866766353,160.8239726093762,4.567701921682263,0.7524727351513362,5189.352293797656,1000.0,931.3260916399964,888.5337868901097,192.3958412354901,77.99094254945153,773.5137126520368,0.5221021598417923,1076.9573281674095,35.90527128428451,142,392,190889.030089336,LC
Abrothallus cetrariae,33.5237375,26.12872375,19.08116625,1.09809625,9.07311,123.7904375,102.0499025,71.80657375,2.29927875,49.27566125000003,0.1034939368156375,256.5174951683429,18.190940987743737,0.0,150.10632976634096,52.2718886346851,11.76674336024703,516.501215515847,0.0433087097577687,72.88949341179479,12.037467042194493,0.8129649290598845,3085.503725903622,560.0593752716986,620.442095263615,749.1107512387262,645.2673193849147,67.39404544537938,1017.751629108306,0.2731359236885577,1233.3331258874716,109.97999185635209,20,80,111407.474501388,LC
Abrothallus parmeliarum,44.062871875,11.778446875,19.692741875,0.589659375,3.53294125,213.5317375,102.57846874999994,62.37068874999998,1.934071875,19.423408749999997,0.0021210448127647,350.8867439887588,11.50957066834718,0.0,181.5762858626844,10.539992791420223,-9.77422200950111,464.8895272370376,0.0610455780343265,118.021533844035,5.029573464922506,0.7490749453379683,3538.8199076301366,815.2488950816097,818.5017806563644,849.8065874364622,818.040276182229,77.4714062568868,1002.9425528807154,0.4250015940170382,1374.1165793386658,92.74289269660056,59,148,391293.218842003,LC
Abrothallus santessonii,27.777275,70.45205875,17.77303,0.97347375,14.7407025,96.5257375,118.42655125,41.67095375,1.59976375,23.44103,0.4251105881496081,529.5977476235859,119.99982638236932,0.0,362.0624504721817,41.76298238806887,53.45528789432591,535.4728756593338,0.100969065628681,132.96621972378406,11.054519289014673,0.6631480083868019,2196.910114428463,630.0363058579687,446.6580034992166,691.9276820511451,265.56536758228145,67.17426166649463,669.9348957374934,0.312249682285893,861.1176083231562,24.91630572183233,15,40,25240.5158556364,
Absconditella delutula,33.069275,24.252135,18.484475,0.975715,5.143445,199.62235,122.05693,83.11945999999999,1.61682,64.76997499999997,-0.1058384323343337,288.9772418511427,49.73201304389397,0.0,160.96470043012567,23.494871407203117,32.80719676683226,533.9788913279116,0.0424559698023689,79.6714228785236,5.513388922069957,0.7794924720431413,2199.075798862872,655.4691561628713,820.6463452378642,724.9403356304038,385.5012904273044,65.69185557076571,720.1658633164329,0.6249112311000385,729.2922788618803,36.50640494708879,17,60,65607.5792025372,VU
Absconditella lignicola,33.825665625,21.698639375,16.01430875,0.379139375,4.162368750000001,209.06675,119.47995000000004,85.867128125,1.75194125,81.21250562500005,0.0299954422664984,131.21267720573775,42.5832303278958,0.0,45.39378742914191,13.245823098225342,19.89813410191626,520.8352791008067,0.1267597648425767,21.481423146608584,4.754966650671975,0.7878358529565285,2422.799152935521,570.208948277741,764.6802854303135,791.0064370680317,499.9814347352617,71.1950691475485,740.94756685561,0.5512780964853624,894.907798506485,61.31040547889519,69,240,148600.058220809,LC
Absconditella sphagnorum,47.9350625,30.395625000000003,18.3959925,1.1437937500000002,6.87359375,143.10371249999997,98.8041,69.05207749999998,2.297825,77.6339587499999,0.2547117038573144,254.252282891095,26.45462783510363,0.0,33.721079240235774,56.00733512460566,12.276606856550956,569.9581996949386,0.0989048337813097,54.29044248623886,7.413368766736287,0.8770099222442433,1905.7129873031831,515.7941043876301,725.7668863721915,734.1202619319657,655.791201358704,74.14821366452884,1000.5889551794652,0.3532615466147532,949.2035756675108,66.15148821550726,39,132,187048.096806552,LC
Acanthonitschkea tristis,57.286965625,8.86005,16.595116875,0.70364375,2.181125,225.836125,119.77595624999996,66.03047187499999,1.5381862499999996,45.88435874999989,0.0527342992880881,800.9880551519378,186.63248166464004,0.0,24.99097658353571,14.066401133401843,40.17518482566992,553.3985014937095,0.105502784252406,193.32408753696075,5.006981984947883,0.7299678792780743,4897.53291014341,990.391080295527,917.421714129941,843.7748425117733,225.5695284306896,78.116057110006,777.9325020017974,0.5239522829568457,1228.2176994129325,43.85132893687668,49,144,129177.787858781,LC
Acanthophysellum lividocoeruleum,47.065225,26.531155,19.2527,0.856835,8.735975,143.73425,97.30229,67.255605,2.23102,102.571245,0.1520313745118773,14.364490983683227,9.908942441745824,0.0,0.0,64.23318215105402,-16.786966170898392,470.3714377916419,0.0442639652980131,1.818094124667527,8.281261244367444,0.7761664106093654,1869.376767953102,541.6505893223768,736.1616653572632,528.0981381105394,602.2671179382752,56.258115773740975,713.6614882528952,0.3590262030203687,553.459995096792,62.1052395031847,33,124,216777.141048959,LC
Acarospora anomala,70.260375,16.55001125,26.56500125,0.75634875,3.6405225,214.3305125,80.14861124999996,64.403275,1.4906974999999998,16.56079499999999,0.0983787696274567,527.011718767147,168.37963059097723,0.0,34.50463405646327,16.165891154677478,34.467696794692735,525.1200837182148,0.1250967612580368,146.62885149999238,5.433321103031116,0.721588587127673,2604.709413359202,597.0147416151827,829.1622485982942,802.3403335394441,296.7382846412462,59.92909145889081,711.8334793869325,0.5714234850019526,764.5561201065567,39.696704983401126,27,68,14331.7873688948,EN
Acarospora badiofusca,48.3426275,0.0,26.19348375,0.0,0.0,255.0,72.13466249999998,255.0,1.54355875,44.79982374999996,0.1271236880381794,34.335037752937815,8.089205280394859,0.0,0.0,61.603501864377854,-6.801860471072503,544.6221806102606,0.0535700704465776,3.779540019538061,3.7136434122626985,0.7978274919133902,2571.877251949873,553.6876635731935,673.1058726247077,794.3384208445548,798.4417151999138,66.79723659235117,1042.3149696497887,0.5369418797856659,608.2500965559162,101.722420424186,23,56,185794.182784945,LC
Acarospora cervina,3.4585325000000005,0.73065,15.71813875,0.9529775,0.1555,253.957865625,37.23528437499997,29.202649375,1.14295,38.779985,0.1836696385400096,906.9952779418333,164.1866773174984,0.0,160.63146665250838,18.47913377177959,75.11911141121178,495.3917132437741,0.0817072867249343,73.50947006546939,4.031903001983649,0.585052835794956,1534.1997916885389,309.6296264411282,21.42720723855526,617.7933473172991,34.54605875241542,76.72918340756202,515.2919057378937,0.1633770081477502,384.1208306834787,6.839840565795227,103,80,148.028569445372,VU
Acarospora fuscata,32.681,3.52035,17.387375,0.039375,1.013225,241.420125,97.636725,101.0,1.898275,68.5757,0.0406725091571131,633.1578181484663,147.37894491000117,0.0,51.88149464302765,7.50093498156919,47.00661673427314,507.9145816567924,0.0874089229635242,112.87012919875744,4.330303138468366,0.8388157626888466,4774.6536477551535,959.7958272640404,900.0,852.6979524635288,224.1906298643251,76.83234533130626,878.7089030751487,0.5605853331353308,1155.377422347545,43.24203570914349,971,2760,311637.974966025,LC
