species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Hericium erinaceus,43.706375,12.821930625,12.704528125,0.40257375,227.54789375,130.986578125,74.69183937500001,1.3765625,-0.0974249323806983,447.990978094356,116.15429327289948,0.0,41.00381348867233,9.18648911266168,64.77724390495439,512.9438207011557,0.0605589606431565,118.52895001474258,4.821563375458981,0.8282897659924644,4626.482275581147,944.4696734849416,900.0,856.921556875658,169.47043245215576,78.26646999861899,861.119619878224,0.7473597335655657,1050.1227214309215,36.87958577045468,118,168,73060.7414503463,CR
Pyrenula coryli,43.511624999999995,25.7057625,9.025325,0.5515875,168.2339375,103.4581375,67.9576,2.0079624999999997,0.2199613980829868,316.48686410489057,22.080221827078457,0.0,270.203001859456,11.581903927123337,12.619149920425096,513.2676224952893,0.1133969745726644,95.61838278041104,7.415561289294055,0.7445234049934297,3313.1583446661557,708.8455127810554,619.2633265976483,889.6214991470325,603.316327302542,73.40348255566327,1001.6717607053752,0.4430386219912527,1008.198297282155,66.42923688367853,21,44,167915.550810843,CR
Artomyces cristatus,29.248309375,63.21433,18.683750625,0.5249137500000001,128.97178749999998,107.73999374999995,58.86440374999999,1.3814093749999998,0.2385080857884656,421.5852809180074,101.99040504949298,0.0,261.366836182832,124.89818478614669,50.237331598352974,778.3696968166788,0.0570509701981139,106.18187871838656,14.733564153621574,0.8259650782145334,1052.600534295541,253.988237125354,0.0,606.5671191055693,232.3679533594021,60.00733059206792,813.1034636480077,0.4349949894549018,316.1123204405029,34.21497684219625,84,72,730.726937618866,CR
Toninia plumbina,31.629375000000003,47.689196875,18.10870625,1.100140625,131.654609375,105.010271875,75.32530312499999,2.9785781250000003,0.0614523792287099,241.82108984348895,103.0165962513726,0.0,30.192291226501393,48.20924092622965,49.08377108353845,609.4463725373528,0.0276118403259809,76.9009150519818,6.920998748715159,0.7983954360763418,1046.7192428920523,249.97759726873437,288.67609047080043,667.1279400101308,230.87292309802092,67.03080294279432,794.0657802368146,0.3308135684182932,454.1038412289279,49.24842123378431,46,16,103408.165922057,CR
Pannaria rubiginosa,44.792625,27.339225,22.481415,0.57256,145.13087499999995,100.81978999999995,75.35808,2.978485,0.0652924179186365,348.03980255919436,80.36624205021195,0.0,69.45511723781165,99.86202595242575,13.093470596462009,661.4262177160557,0.0323569501860259,86.14560597445922,6.868371676919729,0.8141085087802362,1514.3313481148275,394.08594609430054,543.7438470788003,676.2658016897816,594.1629104440781,67.03637930415358,915.0909779997947,0.4375583331977182,635.7583428238187,60.65663393651363,90,92,64763.1870257727,CR
Russula puellula,71.59175,36.8805575,15.3082525,0.63038,183.9406,119.63727,80.841125,1.3533799999999998,0.2435157172426535,747.5951976629773,210.8497127918208,0.0,142.35185815527328,21.34618015460369,54.34732538128581,603.5770900546559,0.1509004215344689,180.40124480708388,5.403702185580553,0.7649207472821714,5122.212758019285,999.1071890780048,945.8065877290632,886.5590005895825,236.2964098925139,77.45241088996084,806.5006744001902,0.4147436578173837,1158.3533046460411,33.551293920709426,13,48,28379.1120146108,DD
Trichoderma seppoi,32.65516875,42.012963125,30.564311875,1.14246625,87.85846875,81.12339625,54.996315625,2.0627206250000003,0.4093331969286226,113.22796809577258,19.71086726518678,0.0,71.26193916685678,70.44283783056201,-7.781239133221748,480.5594890532875,0.0571963591738505,35.766057711179045,13.356359909249903,0.7673082164837023,3587.0313310408924,781.8531762703993,896.8231183095991,740.1830224306964,609.2744370721871,41.79978813271876,643.9905847844128,0.2746271797764498,774.3580458033521,55.56147369062892,10,36,97119.6300998423,DD
Butyriboletus subappendiculatus,40.940625,36.6898875,17.7614125,0.7024125,160.8660625,101.73565,50.6986,1.4129,0.2310498865820533,908.428723815377,246.5317623301012,0.0,327.30639074280276,23.482723612388657,50.51602083859759,634.3056705303985,0.108716048511242,353.95363624162485,10.786106963106018,0.7508830739827237,4481.640467330772,961.7589275969356,900.0,867.8834294061877,256.51196777558687,71.58381653702148,856.6471020906889,0.4295763674901675,1359.1907703446668,43.49151133049861,23,68,7123.15188366406,DD
Inocybe haemacta,45.966171875,28.53593125,13.119575,0.870753125,194.93553125,118.197290625,33.195565625,1.0620500000000002,0.368171598026839,1147.268463540871,268.89222951760536,78.61639908508451,186.4466377713028,8.57676520966221,74.00004548672015,604.823203376898,0.1393143569364596,251.80483235492432,2.5540474804304014,0.763995372013431,3593.551164072878,961.3669420010629,900.0,611.9920947660523,92.03640802011702,79.66602064614986,690.1224276422744,0.2897789785502781,664.8712283312486,34.76990842218673,16,28,4617.44792407684,DD
Ramaria tridentina,56.946975,72.35249499999999,23.2109,0.97612,125.08985,102.4471,50.91366000000001,1.4012600000000002,0.1596692713766366,153.22207308226814,107.53209862536634,0.0,39.62251324849946,26.374428539829843,38.114828444928925,584.3238742194288,0.0731074367484001,14.70985916918375,12.09910672457279,0.8222159027514069,1559.151173949188,330.61805698012745,177.84958638815002,774.3276500390224,315.0769673098409,57.99924550505266,733.383742032607,0.35104103873697,674.0296564864389,37.352837129649195,116,60,33956.5835833452,DD
