species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Brunnipila calyculiformis,48.39534125,26.29292375,15.69480875,0.61082625,5.449245,195.0180125,94.87331125,57.67102625,1.6757037500000005,80.05802375000003,0.0362362018238988,614.4726368967149,108.68494051205434,0.0,57.319193462810325,11.81378814858607,53.05815468979277,503.1806297977961,0.0786847798310427,171.3824288186904,5.033499743558189,0.7426983737496344,4190.113707375604,968.8843496406016,900.0,840.7469308955154,273.76892538981986,74.90521703657333,910.5507412313082,0.3902284664203625,1349.5992410165547,39.50799482031376,105,340,170322.15956495,LC
Usnea cylindrica,28.0440875,62.863639375000005,20.84919875,0.990441875,13.708080625,101.046070625,110.012385625,61.42625375,1.96694375,50.40486187499994,0.2179230822516417,250.72272476766688,28.61230904175973,0.0,89.15576990587968,16.644250617992903,12.116808052017598,562.7941137018564,0.085253211993097,29.02319732073685,7.120358594461522,0.8277443274938664,2710.2626750778877,679.129730445939,864.6993156421623,768.2416343848985,640.8178807672418,68.46504475300047,842.2622211639235,0.3355616244098162,725.8514550029554,58.60722723845459,29,108,260529.436507745,EN
Elixia flexella,51.79025,23.8297375,18.349625,0.815475,6.477,140.26543750000002,98.2818625,65.5794875,2.2857875,101.2029375,0.1848505424950422,150.0448205038746,10.369287820855954,0.0,57.572715488300645,110.3899679298543,-5.0329544480115,512.3053392218729,0.0904585224211943,23.26811990254754,15.866630281763474,0.7634192368654088,1727.9876509539135,364.723992776722,629.0780860606598,648.8119098704975,764.8637877131987,40.70730477009606,833.3065070655715,0.3394244935622186,763.178333729842,68.77263254241691,21,84,153493.613481974,NT
Parmelia submontana,49.81453125,12.9893125,10.6131375,0.880746875,2.58301875,224.410140625,109.69019375,67.66911250000001,2.021075,88.922434375,0.125345289854737,443.5939636996732,176.61983976758842,0.0,43.86761068668757,33.392765590438565,55.43584177725701,618.6821607644562,0.0724799564575103,123.27875662012748,6.360894371036788,0.8351558611394205,5223.115941919291,1000.0,930.8572275016176,859.5730947681365,260.1226990392466,78.45456344203683,926.3542226317423,0.4073320086535812,957.2154203012147,45.97411361913827,127,396,42686.5503614752,LC
Lecanora argopholis,33.187396875000005,3.381525625,49.398831875,0.183863125,0.808950625,243.368259375,55.23630624999996,88.11527624999997,0.7608074999999991,72.211000625,0.0488571571563378,510.8026264823385,79.75145605498484,0.0,69.87861295972228,82.93786872779945,48.3289395208519,589.1484788592596,0.1646738317122036,97.85158547889488,3.720817013698085,0.4917440654368477,2242.1079442623086,459.5337993630866,417.49943093121385,831.3240467219525,242.4600615601638,62.51494113185809,624.3668202067255,0.63315002982245,751.4988585864809,30.056577758515317,32,76,17848.3812694102,LC
Placynthiella oligotropha,29.53521875,1.23989375,15.3042625,0.138725,0.35604375,253.46184375,106.73390625,206.32805,1.87745625,38.262775000000005,0.2711607182555673,343.64594288150954,10.314378592984204,0.0,53.88679186203379,6.3626059287223145,-14.79141663126094,493.2420871337175,0.0698969811063207,88.2455530272972,4.672879123402345,0.8084608386303433,3768.9794946155366,910.9216289568142,890.2783570668912,849.8778692473022,755.5778373730083,74.394983114722,996.0603443793414,0.476833462651795,978.9367078730536,52.498921396187576,51,152,405751.053557917,LC
Syzygites megalocarpus,53.292188125,23.73285,16.40471375,0.328370625,5.037855625,198.391375,101.996868125,102.6337268749995,1.4822974999999994,93.22309062499995,0.1619540419892168,616.3973859104212,132.3958690887967,0.0,376.2249116085851,10.9540928104585,52.28664374365256,493.7624217450114,0.1087143793587154,149.71998076069778,4.268013505869807,0.8006979716998607,5188.591067446185,1000.0,967.7738045915618,916.4890507894964,213.74195091797748,80.39734946417255,732.1869113705244,0.5207890362176256,1322.4201814287876,23.1631898305522,34,100,119970.977818579,
Dacryobolus karstenii,34.63129375,30.328185,17.1380575,0.5050525,7.01852125,170.3108125,98.56129124999998,97.76983625,2.3652074999999995,99.91152749999996,0.1792138398142989,34.858130113219055,14.446384971099093,0.0,4.411892073303728,6.931574664439511,-15.76214017182395,481.2463064280983,0.0823259510603047,4.73277748948592,4.975992608400284,0.782926072414274,3048.6774244677563,794.1345968997589,892.015947372987,759.5775898673402,564.3824754903894,78.84857958133861,812.8904025475788,0.4975897503511969,881.1773479497265,63.18226185035675,63,200,344038.129689964,LC
Xylaria filiformis,44.700496875,19.080605,20.86298375,0.8552118750000001,4.2305425,199.321028125,87.856385,54.25115124999999,1.899524375,81.16035062499999,0.184966370035807,258.2504378951986,46.62477474583961,0.0,57.29348543752511,15.204096775953492,3.046339514537352,512.9006114642916,0.0746043971102833,79.32575990137217,6.672126984732103,0.86858604082053,3894.167566178079,950.4028897003913,895.3476487442302,848.3466460079953,720.746841462523,74.48342209551896,986.2197147801936,0.3987652597887472,848.8818810953902,85.35439565697308,28,104,306894.433582612,LC
Lactarius duplicatus,45.877668750000005,4.36526375,19.77275125,0.7531625000000001,0.96890875,229.27242500000003,93.00042500000002,65.51418000000001,1.9588450000000008,23.845945,0.3876864758918276,59.13150413197138,6.661884901422294,0.0,0.6082763839854357,79.80257304228239,-10.554161958610438,397.1401022648533,0.0999566218139779,11.068055164675432,19.594765388342697,0.8370762396948226,1920.8403038519243,516.7595732555938,754.9905254293535,705.9230833791268,871.8312382089499,30.319056219653447,1018.8373910977938,0.4468772724693968,565.3596506665864,147.456695698802,19,68,144490.847828708,LC
